player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,matchweek
Wayne Hennessey,0.0,0.0,0.0,0.0,0.0, (Matchweek 36)
Ben Hamer,7.0,5.0,3.0,42.9,3.9, (Matchweek 36)
Nick Pope,2.0,0.0,2.0,100.0,0.4, (Matchweek 36)
Mathew Ryan,4.0,0.0,4.0,100.0,1.5, (Matchweek 36)
Łukasz Fabiański,3.0,1.0,2.0,66.7,1.3, (Matchweek 36)
Thibaut Courtois,3.0,0.0,3.0,100.0,0.1, (Matchweek 36)
Adrián,7.0,4.0,4.0,42.9,2.1, (Matchweek 36)
Ederson,1.0,1.0,0.0,0.0,0.3, (Matchweek 36)
David de Gea,3.0,1.0,2.0,66.7,0.7, (Matchweek 36)
David Ospina,3.0,2.0,1.0,33.3,2.3, (Matchweek 36)
Hugo Lloris,5.0,0.0,5.0,100.0,0.4, (Matchweek 36)
Orestis Karnezis,3.0,2.0,1.0,33.3,1.4, (Matchweek 36)
Mathew Ryan,3.0,0.0,3.0,100.0,0.6, (Matchweek 37)
David de Gea,4.0,1.0,3.0,75.0,0.7, (Matchweek 37)
Jack Butland,2.0,2.0,0.0,0.0,1.1, (Matchweek 37)
Wayne Hennessey,2.0,1.0,1.0,50.0,0.6, (Matchweek 37)
Ben Hamer,3.0,2.0,1.0,33.3,0.8, (Matchweek 37)
Adrián,2.0,0.0,2.0,100.0,0.4, (Matchweek 37)
Ben Foster,5.0,0.0,5.0,100.0,1.5, (Matchweek 37)
Hugo Lloris,1.0,1.0,0.0,0.0,0.9, (Matchweek 37)
Asmir Begović,3.0,0.0,3.0,100.0,1.3, (Matchweek 37)
Łukasz Fabiański,5.0,1.0,4.0,80.0,1.9, (Matchweek 37)
Orestis Karnezis,1.0,1.0,0.0,0.0,0.9, (Matchweek 37)
Martin Dúbravka,7.0,2.0,5.0,71.4,3.0, (Matchweek 37)
Jordan Pickford,5.0,1.0,4.0,80.0,1.2, (Matchweek 37)
Alex McCarthy,2.0,1.0,1.0,50.0,0.6, (Matchweek 37)
Ederson,3.0,0.0,3.0,100.0,0.4, (Matchweek 37)
Jonas Lössl,2.0,0.0,2.0,100.0,0.1, (Matchweek 37)
Thibaut Courtois,6.0,0.0,6.0,100.0,0.5, (Matchweek 37)
Loris Karius,4.0,1.0,3.0,75.0,1.1, (Matchweek 37)
Petr Čech,2.0,0.0,2.0,100.0,0.7, (Matchweek 37)
Nick Pope,8.0,5.0,3.0,37.5,4.3, (Matchweek 37)
Łukasz Fabiański,8.0,1.0,7.0,87.5,1.6, (Matchweek 31)
Alex McCarthy,3.0,0.0,3.0,100.0,0.1, (Matchweek 31)
Eldin Jakupović,6.0,1.0,5.0,83.3,2.2, (Matchweek 31)
Petr Čech,9.0,3.0,7.0,77.8,3.3, (Matchweek 31)
Willy Caballero,2.0,1.0,1.0,50.0,0.7, (Matchweek 35)
Jonas Lössl,5.0,1.0,3.0,80.0,1.5, (Matchweek 35)
Hugo Lloris,3.0,0.0,3.0,100.0,0.9, (Matchweek 31)
Martin Dúbravka,7.0,1.0,6.0,85.7,2.4, (Matchweek 31)
Claudio Bravo,3.0,1.0,2.0,66.7,1.1, (Matchweek 31)
Mathew Ryan,7.0,3.0,4.0,57.1,2.1, (Matchweek 31)
Adrián,6.0,0.0,5.0,100.0,0.6, (Matchweek 31)
